,bin,OCURRED,LAG
413,391,02/13/22,0
414,392,02/12/22,0
415,393,02/12/22,0
416,394,02/12/22,0
417,395,02/11/22,0
418,396,02/11/22,0
419,397,02/11/22,0
420,398,02/10/22,0
421,399,02/10/22,0
422,400,02/10/22,0
423,401,02/09/22,0
424,402,02/09/22,0
425,403,02/09/22,0
426,404,02/09/22,0
427,405,02/09/22,0
428,373,02/08/22,0
429,406,02/08/22,0
430,407,02/08/22,0
431,408,02/07/22,0
432,409,02/07/22,0
433,410,02/07/22,0
434,411,02/07/22,0
435,412,02/07/22,0
436,413,02/07/22,0
437,378,02/07/22,0
438,414,02/06/22,0
439,415,02/06/22,0
440,416,02/06/22,0
441,417,02/06/22,0
442,418,02/05/22,0
443,419,02/04/22,0
444,420,02/04/22,0
445,421,02/04/22,0
446,422,02/04/22,0
447,423,02/04/22,0
448,424,02/02/22,0
449,425,02/01/22,0
450,426,02/01/22,0
451,427,02/01/22,0
452,428,01/31/22,0
453,429,01/31/22,0
454,430,01/31/22,0
455,431,01/30/22,0
456,432,01/30/22,0
457,433,01/29/22,0
458,434,01/29/22,0
459,435,01/29/22,0
460,436,01/29/22,0
461,437,01/28/22,0
462,438,01/28/22,0
463,439,01/28/22,0
464,440,01/27/22,0
465,441,01/27/22,0
466,442,01/26/22,0
467,443,01/26/22,0
468,444,01/26/22,0
469,445,01/26/22,0
470,446,01/25/22,0
471,447,01/25/22,0
472,448,01/25/22,0
473,449,01/24/22,0
474,450,01/24/22,0
475,451,01/23/22,0
476,452,01/23/22,0
477,453,01/23/22,0
478,454,01/23/22,0
479,455,01/23/22,0
480,456,01/23/22,0
481,457,01/22/22,0
482,458,01/22/22,0
483,459,01/21/22,0
484,460,01/20/22,0
485,461,01/20/22,0
486,462,01/20/22,0
487,463,01/19/22,0
488,464,01/19/22,0
489,465,01/18/22,0
490,466,01/18/22,0
491,467,01/18/22,0
492,468,01/17/22,0
493,469,01/16/22,0
494,470,01/16/22,0
495,272,01/16/22,0
496,471,01/16/22,0
497,472,01/14/22,0
498,473,01/14/22,0
499,474,01/13/22,0
500,475,01/13/22,0
501,476,01/12/22,0
502,477,01/12/22,0
503,478,01/12/22,0
504,479,01/12/22,0
505,480,01/11/22,0
506,481,01/11/22,0
507,482,01/11/22,0
508,483,01/10/22,0
509,484,01/10/22,0
510,485,01/10/22,0
511,486,01/09/22,0
512,487,01/09/22,0
513,488,01/09/22,0
514,489,01/09/22,0
515,490,01/08/22,0
516,491,01/08/22,0
517,492,01/06/22,0
518,493,01/06/22,0
519,494,01/06/22,0
520,495,01/05/22,0
521,496,01/05/22,0
522,497,01/05/22,0
523,498,01/04/22,0
524,499,01/04/22,0
525,500,01/04/22,0
526,338,01/04/22,0
527,501,01/03/22,0
528,502,01/03/22,0
529,503,01/03/22,0
530,504,01/02/22,0
531,505,01/02/22,0
532,506,01/01/22,0
533,507,01/01/22,0
534,508,12/31/21,0
535,509,12/31/21,0
536,510,12/29/21,0
537,511,12/29/21,0
538,512,12/28/21,0
539,513,12/27/21,0
540,514,12/27/21,0
541,515,12/27/21,0
542,516,12/27/21,0
543,517,12/27/21,0
544,518,12/27/21,0
545,519,12/26/21,0
546,520,12/26/21,0
547,521,12/26/21,0
548,467,12/26/21,0
549,522,12/24/21,0
550,523,12/24/21,0
551,524,12/23/21,0
552,525,12/23/21,0
553,526,12/23/21,0
554,527,12/23/21,0
555,528,12/23/21,0
556,526,12/23/21,0
557,529,12/22/21,0
558,530,12/22/21,0
559,531,12/22/21,0
560,532,12/22/21,0
561,533,12/22/21,0
562,534,12/21/21,0
563,535,12/21/21,0
564,536,12/21/21,0
565,537,12/21/21,0
566,538,12/20/21,0
567,209,12/20/21,0
568,539,12/20/21,0
569,540,12/19/21,0
570,541,12/19/21,0
571,542,12/18/21,0
572,543,12/18/21,0
573,543,12/18/21,0
574,544,12/18/21,0
575,545,12/16/21,0
576,546,12/16/21,0
577,545,12/16/21,0
578,547,12/16/21,0
579,548,12/16/21,0
580,549,12/15/21,0
581,550,12/15/21,0
582,551,12/15/21,0
583,552,12/15/21,0
584,553,12/15/21,0
585,554,12/14/21,0
586,555,12/14/21,0
587,556,12/13/21,0
588,557,12/12/21,0
589,558,12/12/21,0
590,224,12/12/21,0
591,559,12/12/21,0
592,560,12/12/21,0
593,561,12/11/21,0
594,562,12/11/21,0
595,563,12/10/21,0
596,564,12/10/21,0
597,565,12/10/21,0
598,566,12/10/21,0
599,567,12/10/21,0
600,568,12/10/21,0
601,569,12/10/21,0
602,570,12/10/21,0
603,571,12/09/21,0
604,316,12/08/21,0
