,latitude,longitude
179,30.315103,-95.4508467
180,37.37,-81.09
181,32.32,-106.76
182,33.722562,-84.4626457
183,35.36,-108.05
184,37.28,-97.01
185,33.5675029,-112.1862792
186,34.1130778,-118.2528246
187,40.5038172,-105.1170977
188,30.2495517,-92.0316426
189,39.8674095,-84.137827
190,34.26,-79.8
191,36.5077576,-82.2686381
192,35.93,-84.04
193,41.86,-80.77
194,36.06,-95.89
195,40.55,-74.33
196,38.8581568,-104.9171402
197,39.07,-84.5
198,36.0482071,-95.9042376
199,44.9393365,-123.0180963
200,32.0803254,-81.0889847
201,37.26,-85.5
202,33.3068209,-111.7554879
203,34.1029757,-117.8070288
204,42.906776,-71.324875
205,36.7491925,-108.1856728
206,29.8983079,-95.4127489
207,35.1892867,-97.353048
208,34.15041,-117.46952
209,38.4,-79.01
210,37.29,-120.47
211,42.11615,-86.441536
212,39.3,-80.78
213,33.5449637,-81.6781411
214,40.65,-73.93
215,37.472748,-77.4458216
216,37.472748,-77.4458216
217,35.74,-88.62
218,40.018032,-75.08622
219,32.67,-83.74
220,36.1161526,-96.6917687
221,34.2282691,-118.4516404
222,35.1448942,-106.5830927
223,45.029175,-93.13352
224,30.23,-93.11
225,29.7588922,-95.4051305
226,31.0872528,-97.755375
227,35.4231264,-76.3153317
228,42.9308369,-85.639344
229,35.9554285,-83.195493
230,38.71604,-90.24124
231,34.0424175,-117.5757909
232,41.602753,-87.765
233,41.753326,-87.72725
234,35.25,-90.74
235,39.3896198,-89.0628088
236,35.63,-97.27
237,41.1634407,-104.7670492
238,31.96,-81.14
239,41.1130944,-80.6827922
240,27.329247,-82.53979
241,33.74,-117.83
242,35.2867556,-84.7493566
243,34.920172,-81.9783438
244,35.0521465,-106.6719673
245,39.1612439,-78.754553
246,40.35471,-76.420815
247,42.11,-84.29
248,25.722601,-80.338941
249,45.768263,-122.879723
250,43.551091,-96.7522599
251,35.2434941,-92.963633
252,32.79483,-117.04748
253,39.6355489,-86.1169992
254,36.7376113,-119.7878018
255,32.2159186,-110.809471
256,61.58,-149.44
257,41.027454,-76.3080899
258,34.4129924,-117.3228068
259,37.6305776,-91.5342731
260,36.1485124,-115.1048319
261,36.17,-115.14
262,26.231241,-80.221565
263,32.9788267,-104.4216732
264,36.51,-121.08
265,27.657001,-80.39421
266,44.08147,-103.24575
267,37.033047,-94.74179
268,37.033047,-94.74179
269,34.28,-84.49
270,34.77,-96.68
271,32.0807047,-81.0965267
272,40.7562003,-111.8914212
273,28.99,-82.53
274,32.42,-86.29
275,27.6590062,-80.3930251
276,26.1214975,-80.1825778
277,33.50827,-84.36544
278,34.27,-83.39
279,33.3061373,-111.8240636
280,37.931408,-121.62137
281,33.4187676,-94.0298548
282,35.52,-84.36
283,44.29,-105.49
284,42.2819109,-85.5895564
285,35.0681039,-106.4977328
286,38.6955262,-75.0756815
287,47.497288,-111.2832004
288,33.8478474,-112.2506407
289,34.92,-77.57
290,43.1589055,-97.7163211
291,42.86,-106.27
292,38.24,-85.73
293,39.05,-77.39
294,35.67,-101.4
295,37.920925,-90.536362
296,37.6888631,-96.7812636
297,36.17,-115.14
298,47.2171736,-122.4736167
299,47.552456,-122.28856
300,34.987144,-80.522575
301,47.0844134,-122.4351138
302,34.2141706,-84.4689411
303,32.821075,-97.179565
304,42.947475,-78.83599
